timestamp;value
2025-04-28 15:40:01;284.05
2025-04-28 15:41:02;284.41
2025-04-28 15:42:01;284.85
2025-04-28 15:43:02;284.39
2025-04-28 15:44:01;284.36
2025-04-28 15:45:02;284.17
2025-04-28 15:46:01;284.12
2025-04-28 15:47:02;284.92
2025-04-28 15:48:02;284.87
2025-04-28 15:49:01;284.60
2025-04-28 15:50:02;284.78
2025-04-28 15:51:01;286.33
2025-04-28 15:52:02;286.21
2025-04-28 15:53:01;286.56
2025-04-28 15:54:02;286.39
2025-04-28 15:55:01;285.98
2025-04-28 15:56:02;286.26
2025-04-28 15:57:02;286.28
2025-04-28 15:58:01;286.35
2025-04-28 15:59:02;286.49
2025-04-28 16:00:01;286.10
